Cumulative emissions of NOx from lightning
t top of cloud (16km) 100% of NOx has been
emitted into the column. At surface (0km) 0%
of NOx has been emitted into the column.
O. A. Sovde, August 2011
Taken from Table 2, Pickering et al., JGR, 1998
 
 For subtropics I use midlatitude  
------------------------------------------------------
     Tropical     Tropical  Midlatitude  Subtropical  
       Marine  Continental  Continental  Continental  
------------------------------------------------------
       8.4211       9.7116      22.1327      22.1327
       8.4365       9.7214      22.1449      22.1449
       8.4518       9.7313      22.1571      22.1571
       8.4672       9.7412      22.1693      22.1693
       8.4826       9.7510      22.1814      22.1814
       8.4979       9.7609      22.1936      22.1936
       8.5133       9.7708      22.2058      22.2058
       8.5286       9.7806      22.2180      22.2180
       8.5440       9.7905      22.2302      22.2302
       8.5594       9.8004      22.2423      22.2423
       8.5747       9.8103      22.2545      22.2545
       8.5901       9.8201      22.2667      22.2667
       8.6054       9.8300      22.2789      22.2789
       8.6208       9.8399      22.2911      22.2911
       8.6362       9.8497      22.3033      22.3033
       8.6515       9.8596      22.3154      22.3154
       8.6669       9.8695      22.3276      22.3276
       8.6814       9.8799      22.3356      22.3356
       8.6952       9.8908      22.3398      22.3398
       8.7089       9.9017      22.3441      22.3441
       8.7227       9.9126      22.3483      22.3483
       8.7365       9.9235      22.3525      22.3525
       8.7503       9.9344      22.3568      22.3568
       8.7640       9.9453      22.3610      22.3610
       8.7778       9.9562      22.3653      22.3653
       8.7916       9.9671      22.3695      22.3695
       8.8053       9.9780      22.3737      22.3737
       8.8191       9.9889      22.3780      22.3780
       8.8329       9.9999      22.3822      22.3822
       8.8467      10.0108      22.3864      22.3864
       8.8604      10.0217      22.3907      22.3907
       8.8742      10.0326      22.3949      22.3949
       8.8880      10.0435      22.3992      22.3992
       8.9017      10.0544      22.4034      22.4034
       8.9155      10.0653      22.4076      22.4076
       8.9293      10.0762      22.4119      22.4119
       8.9431      10.0871      22.4161      22.4161
       8.9568      10.0980      22.4203      22.4203
       8.9706      10.1089      22.4246      22.4246
       8.9844      10.1198      22.4288      22.4288
       8.9981      10.1307      22.4331      22.4331
       9.0119      10.1416      22.4373      22.4373
       9.0257      10.1525      22.4415      22.4415
       9.0395      10.1635      22.4458      22.4458
       9.0532      10.1744      22.4500      22.4500
       9.0670      10.1853      22.4542      22.4542
       9.0808      10.1962      22.4585      22.4585
       9.0945      10.2071      22.4627      22.4627
       9.1083      10.2180      22.4670      22.4670
       9.1221      10.2289      22.4712      22.4712
       9.1359      10.2398      22.4754      22.4754
       9.1496      10.2507      22.4797      22.4797
       9.1634      10.2616      22.4839      22.4839
       9.1772      10.2725      22.4881      22.4881
       9.1909      10.2834      22.4924      22.4924
       9.2047      10.2943      22.4966      22.4966
       9.2185      10.3052      22.5009      22.5009
       9.2323      10.3161      22.5051      22.5051
       9.2460      10.3271      22.5093      22.5093
       9.2598      10.3380      22.5136      22.5136
       9.2736      10.3489      22.5178      22.5178
       9.2873      10.3598      22.5220      22.5220
       9.3011      10.3707      22.5263      22.5263
       9.3149      10.3816      22.5305      22.5305
       9.3287      10.3925      22.5348      22.5348
       9.3424      10.4034      22.5390      22.5390
       9.3562      10.4143      22.5432      22.5432
       9.3700      10.4252      22.5475      22.5475
       9.3837      10.4361      22.5517      22.5517
       9.3975      10.4470      22.5559      22.5559
       9.4113      10.4579      22.5602      22.5602
       9.4251      10.4688      22.5644      22.5644
       9.4388      10.4797      22.5687      22.5687
       9.4526      10.4907      22.5729      22.5729
       9.4664      10.5016      22.5771      22.5771
       9.4801      10.5125      22.5814      22.5814
       9.4939      10.5234      22.5856      22.5856
       9.5077      10.5343      22.5898      22.5898
       9.5215      10.5452      22.5941      22.5941
       9.5352      10.5561      22.5983      22.5983
       9.5490      10.5670      22.6026      22.6026
       9.5628      10.5779      22.6068      22.6068
       9.5765      10.5888      22.6110      22.6110
       9.5903      10.5997      22.6153      22.6153
       9.6041      10.6106      22.6195      22.6195
       9.6179      10.6215      22.6237      22.6237
       9.6316      10.6324      22.6280      22.6280
       9.6454      10.6433      22.6322      22.6322
       9.6592      10.6543      22.6365      22.6365
       9.6729      10.6652      22.6407      22.6407
       9.6867      10.6761      22.6449      22.6449
       9.7005      10.6870      22.6492      22.6492
       9.7143      10.6979      22.6534      22.6534
       9.7280      10.7088      22.6576      22.6576
       9.7418      10.7197      22.6619      22.6619
       9.7556      10.7306      22.6661      22.6661
       9.7693      10.7415      22.6704      22.6704
       9.7831      10.7524      22.6746      22.6746
       9.7969      10.7633      22.6788      22.6788
       9.8107      10.7742      22.6831      22.6831
       9.8244      10.7851      22.6873      22.6873
       9.8382      10.7960      22.6915      22.6915
       9.8520      10.8069      22.6958      22.6958
       9.8657      10.8179      22.7000      22.7000
       9.8795      10.8288      22.7042      22.7042
       9.8933      10.8397      22.7085      22.7085
       9.9071      10.8506      22.7127      22.7127
       9.9208      10.8615      22.7170      22.7170
       9.9346      10.8724      22.7212      22.7212
       9.9484      10.8833      22.7254      22.7254
       9.9621      10.8942      22.7297      22.7297
       9.9759      10.9051      22.7339      22.7339
       9.9897      10.9160      22.7381      22.7381
      10.0035      10.9269      22.7424      22.7424
      10.0172      10.9378      22.7466      22.7466
      10.0310      10.9487      22.7509      22.7509
      10.0448      10.9596      22.7551      22.7551
      10.0585      10.9705      22.7593      22.7593
      10.0723      10.9815      22.7636      22.7636
      10.0861      10.9924      22.7678      22.7678
      10.0999      11.0033      22.7720      22.7720
      10.1136      11.0142      22.7763      22.7763
      10.1274      11.0251      22.7805      22.7805
      10.1412      11.0360      22.7848      22.7848
      10.1549      11.0469      22.7890      22.7890
      10.1687      11.0578      22.7932      22.7932
      10.1825      11.0687      22.7975      22.7975
      10.1963      11.0796      22.8017      22.8017
      10.2100      11.0905      22.8059      22.8059
      10.2238      11.1014      22.8102      22.8102
      10.2376      11.1123      22.8144      22.8144
      10.2513      11.1232      22.8187      22.8187
      10.2651      11.1341      22.8229      22.8229
      10.2789      11.1451      22.8271      22.8271
      10.2927      11.1560      22.8314      22.8314
      10.3064      11.1669      22.8356      22.8356
      10.3202      11.1778      22.8398      22.8398
      10.3340      11.1887      22.8441      22.8441
      10.3477      11.1996      22.8483      22.8483
      10.3615      11.2105      22.8526      22.8526
      10.3753      11.2214      22.8568      22.8568
      10.3891      11.2323      22.8610      22.8610
      10.4028      11.2432      22.8653      22.8653
      10.4166      11.2541      22.8695      22.8695
      10.4304      11.2650      22.8737      22.8737
      10.4441      11.2759      22.8780      22.8780
      10.4579      11.2868      22.8822      22.8822
      10.4717      11.2978      22.8865      22.8865
      10.4855      11.3087      22.8907      22.8907
      10.4992      11.3196      22.8949      22.8949
      10.5130      11.3305      22.8992      22.8992
      10.5268      11.3414      22.9034      22.9034
      10.5405      11.3523      22.9076      22.9076
      10.5543      11.3632      22.9119      22.9119
      10.5681      11.3741      22.9161      22.9161
      10.5819      11.3850      22.9204      22.9204
      10.5956      11.3959      22.9246      22.9246
      10.6094      11.4068      22.9288      22.9288
      10.6232      11.4177      22.9331      22.9331
