Cumulative emissions of NOx from lightning
At top of cloud (16km) 100% of NOx has been
emitted into the column. At surface (0km) 0%
of NOx has been emitted into the column.
Lee T. Murray, 20th April 2009
Taken from Table 2, Ott et al., submitted to JGR, 2009


------------------------------------------------------
     Tropical     Tropical  Midlatitude  Subtropical  
       Marine  Continental  Continental  Continental  
------------------------------------------------------
       1.3080       0.4360       3.4613       1.8094
       1.3160       0.4387       3.4832       1.8199
       1.3240       0.4413       3.5050       1.8304
       1.3319       0.4440       3.5269       1.8409
       1.3399       0.4466       3.5488       1.8514
       1.3479       0.4493       3.5707       1.8619
       1.3559       0.4520       3.5926       1.8724
       1.3638       0.4546       3.6144       1.8829
       1.3718       0.4573       3.6363       1.8934
       1.3798       0.4599       3.6582       1.9039
       1.3877       0.4626       3.6801       1.9144
       1.3957       0.4652       3.7020       1.9249
       1.4037       0.4679       3.7239       1.9354
       1.4117       0.4706       3.7457       1.9460
       1.4196       0.4732       3.7676       1.9565
       1.4276       0.4759       3.7895       1.9670
       1.4356       0.4785       3.8114       1.9775
       1.4435       0.4812       3.8333       1.9880
       1.4515       0.4838       3.8551       1.9985
       1.4595       0.4865       3.8770       2.0090
       1.4675       0.4892       3.8989       2.0195
       1.4754       0.4918       3.9208       2.0300
       1.4834       0.4945       3.9427       2.0405
       1.4914       0.4971       3.9646       2.0510
       1.4993       0.4998       3.9864       2.0615
       1.5073       0.5024       4.0083       2.0720
       1.5153       0.5051       4.0302       2.0825
       1.5233       0.5078       4.0521       2.0930
       1.5312       0.5104       4.0740       2.1035
       1.5392       0.5131       4.0958       2.1140
       1.5472       0.5157       4.1177       2.1245
       1.5551       0.5184       4.1396       2.1350
       1.5631       0.5210       4.1615       2.1455
       1.5711       0.5237       4.1834       2.1560
       1.5791       0.5264       4.2053       2.1665
       1.5870       0.5290       4.2271       2.1770
       1.5950       0.5317       4.2490       2.1875
       1.6030       0.5343       4.2709       2.1980
       1.6109       0.5370       4.2928       2.2085
       1.6189       0.5396       4.3147       2.2190
       1.6269       0.5423       4.3365       2.2295
       1.6349       0.5450       4.3584       2.2400
       1.6428       0.5476       4.3803       2.2505
       1.6508       0.5503       4.4022       2.2611
       1.6588       0.5529       4.4241       2.2716
       1.6667       0.5556       4.4460       2.2821
       1.6747       0.5582       4.4678       2.2926
       1.6827       0.5609       4.4897       2.3031
       1.6907       0.5636       4.5116       2.3136
       1.6986       0.5662       4.5335       2.3241
       1.7066       0.5689       4.5554       2.3346
       1.7146       0.5715       4.5772       2.3451
       1.7225       0.5742       4.5991       2.3556
       1.7305       0.5768       4.6210       2.3661
